=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.04.19 10:49:25 =~=~=~=~=~=~=~=~=~=~=~=

Tiempo ,Entrada,ANGULO,POSICION

 -0.400,0,0,0
 -0.380,0,0,0
  5.420, 0.000, 0.560, 0.271
  5.440, 0.000, 0.539, 0.271
  5.460, 0.000, 0.510, 0.271
  5.480, 0.000, 0.473, 0.271
  5.500, 0.000, 0.431, 0.271
  5.520, 0.000, 0.382, 0.271
  5.540, 0.000, 0.330, 0.271
  5.560, 0.000, 0.271, 0.271
  5.580, 0.000, 0.208, 0.271
  5.600, 0.000, 0.141, 0.271
  5.620, 0.000, 0.075, 0.271
  5.640, 0.000, 0.007, 0.271
  5.660, 0.000,-0.061, 0.271
  5.680, 0.000,-0.127, 0.271
  5.700, 0.000,-0.194, 0.271
  5.720, 0.000,-0.257, 0.271
  5.740, 0.000,-0.314, 0.271
  5.760, 0.000,-0.370, 0.271
  5.780, 0.000,-0.419, 0.271
  5.800, 0.000,-0.463, 0.271
  5.820, 0.000,-0.499, 0.271
  5.840, 0.000,-0.529, 0.271
  5.860, 0.000,-0.550, 0.271
  5.880, 0.000,-0.564, 0.271
  5.900, 0.000,-0.571, 0.271
  5.920, 0.000,-0.571, 0.271
  5.940, 0.000,-0.560, 0.271
  5.960, 0.000,-0.543, 0.271
  5.980, 0.000,-0.517, 0.271
  6.000, 0.000,-0.483, 0.271
  6.020, 0.000,-0.445, 0.271
  6.040, 0.000,-0.398, 0.271
  6.060, 0.000,-0.347, 0.271
  6.080, 0.000,-0.290, 0.271
  6.100, 0.000,-0.230, 0.271
  6.120, 0.000,-0.166, 0.271
  6.140, 0.000,-0.099, 0.271
  6.160, 0.000,-0.031, 0.271
  6.180, 0.000, 0.037, 0.271
  6.200, 0.000, 0.105, 0.271
  6.220, 0.000, 0.169, 0.271
  6.240, 0.000, 0.234, 0.271
  6.260, 0.000, 0.295, 0.271
  6.280, 0.000, 0.351, 0.271
  6.300, 0.000, 0.403, 0.271
  6.320, 0.000, 0.449, 0.271
  6.340, 0.000, 0.489, 0.271
  6.360, 0.000, 0.520, 0.271
  6.380, 0.000, 0.546, 0.271
  6.400, 0.000, 0.564, 0.271
  6.420, 0.000, 0.572, 0.271
  6.440, 0.000, 0.576, 0.271
  6.460, 0.000, 0.571, 0.271
  6.480, 0.000, 0.555, 0.271
  6.500, 0.000, 0.532, 0.271
  6.520, 0.000, 0.503, 0.271
  6.540, 0.000, 0.468, 0.271
  6.560, 0.000, 0.422, 0.271
  6.580, 0.000, 0.375, 0.271
  6.600, 0.000, 0.319, 0.271
  6.620, 0.000, 0.260, 0.271
  6.640, 0.000, 0.197, 0.271
  6.660, 0.000, 0.133, 0.271
  6.680, 0.000, 0.066, 0.271
  6.700, 0.000,-0.002, 0.271
  6.720, 0.000,-0.070, 0.271
  6.740, 0.000,-0.138, 0.271
  6.760, 0.000,-0.201, 0.271
  6.780, 0.000,-0.264, 0.271
  6.800, 0.000,-0.321, 0.271
  6.820, 0.000,-0.375, 0.271
  6.840, 0.000,-0.422, 0.271
  6.860, 0.000,-0.466, 0.271
  6.880, 0.000,-0.501, 0.271
  6.900, 0.000,-0.529, 0.271
  6.920, 0.000,-0.550, 0.271
  6.940, 0.000,-0.564, 0.271
  6.960, 0.000,-0.567, 0.271
  6.980, 0.000,-0.567, 0.271
  7.000, 0.000,-0.557, 0.271
  7.020, 0.000,-0.538, 0.271
  7.040, 0.000,-0.510, 0.271
  7.060, 0.000,-0.478, 0.271
  7.080, 0.000,-0.436, 0.271
  7.100, 0.000,-0.391, 0.271
  7.120, 0.000,-0.339, 0.271
  7.140, 0.000,-0.281, 0.271
  7.160, 0.000,-0.222, 0.271
  7.180, 0.000,-0.155, 0.271
  7.200, 0.000,-0.089, 0.271
  7.220, 0.000,-0.023, 0.271
  7.240, 0.000, 0.045, 0.271
  7.260, 0.000, 0.112, 0.271
  7.280, 0.000, 0.178, 0.271
  7.300, 0.000, 0.243, 0.271
  7.320, 0.000, 0.302, 0.271
  7.340, 0.000, 0.358, 0.271
  7.360, 0.000, 0.408, 0.271
  7.380, 0.000, 0.452, 0.271
  7.400, 0.000, 0.490, 0.271
  7.420, 0.000, 0.522, 0.271
  7.440, 0.000, 0.546, 0.271
  7.460, 0.000, 0.562, 0.271
  7.480, 0.000, 0.571, 0.271
  7.500, 0.000, 0.572, 0.271
  7.520, 0.000, 0.565, 0.271
  7.540, 0.000, 0.550, 0.271
  7.560, 0.000, 0.527, 0.271
  7.580, 0.000, 0.497, 0.271
  7.600, 0.000, 0.459, 0.271
  7.620, 0.000, 0.415, 0.271
  7.640, 0.000, 0.365, 0.271
