Tiempo ,CORRIENTE,VELOCIDAD,ENTRADA
1.19,0.147,4.53,3.0
1.195,0.156,4.495,3.0
1.2,0.186,4.505,3.0
1.205,0.175,4.532,3.0
1.21,0.156,4.568,3.0
1.215,0.134,4.532,3.0
1.22,0.155,4.51,3.0
1.225,0.168,4.528,3.0
1.23,0.177,4.512,3.0
1.235,0.171,4.52,3.0
1.24,0.149,4.543,3.0
1.245,0.14,4.57,3.0
1.25,0.155,4.54,3.0
1.255,0.175,4.528,3.0
1.26,0.17,4.497,3.0
1.265,0.171,4.543,3.0
1.27,0.153,4.56,3.0
1.275,0.145,4.582,3.0
1.28,0.153,4.525,3.0
1.285,0.177,4.475,3.0
1.29,0.171,4.5,3.0
1.295,0.18,4.588,3.0
1.3,0.146,4.58,3.0
1.305,0.149,4.57,3.0
1.31,0.149,4.51,3.0
1.315,0.181,4.493,3.0
1.32,0.181,4.53,3.0
1.325,0.174,4.593,3.0
1.33,0.14,4.568,3.0
1.335,0.149,4.532,3.0
1.34,0.159,4.505,3.0
1.345,0.183,4.517,3.0
1.35,0.179,4.55,3.0
1.355,0.158,4.582,3.0
1.36,0.135,4.548,3.0
1.365,0.155,4.523,3.0
1.37,0.164,4.528,3.0
1.375,0.183,4.525,3.0
1.38,0.171,4.543,3.0
1.385,0.151,4.55,3.0
1.39,0.137,4.552,3.0
1.395,0.155,4.543,3.0
1.4,0.171,4.545,3.0
1.405,0.172,4.52,3.0
1.41,0.169,4.538,3.0
1.415,0.149,4.56,3.0
1.42,0.139,4.577,3.0
1.425,0.158,4.552,3.0
1.43,0.174,4.532,3.0
1.435,0.167,4.497,3.0
1.44,0.175,4.543,3.0
1.445,0.148,4.562,3.0
1.45,0.145,4.588,3.0
1.455,0.151,4.545,3.0
1.46,0.172,4.52,3.0
1.465,0.17,4.5,3.0
1.47,0.173,4.57,3.0
1.475,0.152,4.588,3.0
1.48,0.146,4.593,3.0
1.485,0.151,4.525,3.0
1.49,0.174,4.487,3.0
1.495,0.172,4.512,3.0
1.5,0.175,4.588,3.0
1.505,0.147,4.585,3.0
1.51,0.149,4.582,3.0
1.515,0.149,4.52,3.0
1.52,0.181,4.493,3.0
1.525,0.174,4.53,3.0
1.53,0.175,4.602,3.0
1.535,0.143,4.577,3.0
1.54,0.147,4.568,3.0
1.545,0.152,4.51,3.0
1.55,0.183,4.497,3.0
1.555,0.174,4.552,3.0
1.56,0.172,4.61,3.0
1.565,0.137,4.57,3.0
1.57,0.148,4.548,3.0
1.575,0.154,4.523,3.0
1.58,0.182,4.515,3.0
1.585,0.182,4.557,3.0
1.59,0.162,4.595,3.0
1.595,0.134,4.57,3.0
1.6,0.149,4.532,3.0
1.605,0.156,4.528,3.0
1.61,0.183,4.538,3.0
1.615,0.174,4.552,3.0
1.62,0.158,4.59,3.0
1.625,0.134,4.562,3.0
1.63,0.151,4.532,3.0
1.635,0.162,4.532,3.0
1.64,0.181,4.54,3.0
1.645,0.172,4.552,3.0
1.65,0.153,4.57,3.0
1.655,0.135,4.557,3.0
1.66,0.155,4.54,3.0
1.665,0.167,4.535,3.0
1.67,0.175,4.538,3.0
1.675,0.174,4.55,3.0
1.68,0.152,4.573,3.0
1.685,0.137,4.562,3.0
1.69,0.16,4.54,3.0
1.695,0.168,4.545,3.0
1.7,0.176,4.53,3.0
1.705,0.169,4.545,3.0
1.71,0.15,4.56,3.0
1.715,0.139,4.565,3.0
1.72,0.159,4.552,3.0
1.725,0.169,4.55,3.0
1.73,0.168,4.52,3.0
1.735,0.172,4.543,3.0
1.74,0.152,4.565,3.0
1.745,0.141,4.58,3.0
1.75,0.163,4.543,3.0
1.755,0.171,4.548,3.0
1.76,0.169,4.512,3.0
1.765,0.168,4.535,3.0
1.77,0.151,4.562,3.0
1.775,0.142,4.585,3.0
1.78,0.156,4.55,3.0
1.785,0.171,4.532,3.0
1.79,0.16,4.517,3.0
1.795,0.174,4.552,3.0
1.8,0.153,4.57,3.0
1.805,0.143,4.6,3.0
1.81,0.159,4.548,3.0
1.815,0.172,4.517,3.0
1.82,0.169,4.503,3.0
1.825,0.171,4.552,3.0
1.83,0.154,4.57,3.0
1.835,0.148,4.597,3.0
1.84,0.153,4.55,3.0
1.845,0.172,4.512,3.0
1.85,0.168,4.503,3.0
1.855,0.177,4.573,3.0
1.86,0.154,4.58,3.0
1.865,0.152,4.6,3.0
1.87,0.157,4.535,3.0
1.875,0.176,4.487,3.0
1.88,0.172,4.5,3.0
1.885,0.175,4.585,3.0
1.89,0.153,4.585,3.0
1.895,0.153,4.588,3.0
1.9,0.152,4.523,3.0
1.905,0.177,4.497,3.0
1.91,0.171,4.512,3.0
1.915,0.182,4.595,3.0
1.92,0.151,4.585,3.0
1.925,0.151,4.575,3.0
1.93,0.152,4.505,3.0
1.935,0.179,4.485,3.0
1.94,0.177,4.53,3.0
1.945,0.175,4.605,3.0
1.95,0.143,4.58,3.0
1.955,0.15,4.565,3.0
1.96,0.153,4.51,3.0
1.965,0.184,4.503,3.0
1.97,0.176,4.548,3.0
1.975,0.176,4.6,3.0
1.98,0.141,4.568,3.0
1.985,0.152,4.552,3.0
1.99,0.156,4.51,3.0
1.995,0.184,4.503,3.0
2.0,0.18,4.55,3.0
2.005,-0.322,4.6,0.0
2.01,-0.468,4.15,0.0
2.015,-0.409,3.737,0.0
2.02,-0.382,3.475,0.0
2.025,-0.363,3.24,0.0
2.03,-0.327,3.0,0.0
2.035,-0.328,2.882,0.0
2.04,-0.294,2.735,0.0
2.045,-0.296,2.6,0.0
2.05,-0.269,2.455,0.0
2.055,-0.265,2.395,0.0
2.06,-0.239,2.267,0.0
2.065,-0.237,2.195,0.0
2.07,-0.235,2.108,0.0
2.075,-0.211,2.033,0.0
2.08,-0.213,1.953,0.0
2.085,-0.197,1.89,0.0
