Tiempo ,CORRIENT,VELOCIDA,ENTRADA
  1.295, 0.158, 4.510, 3.000
  1.300, 0.187, 4.477, 3.000
  1.305, 0.185, 4.480, 3.000
  1.310, 0.187, 4.562, 3.000
  1.315, 0.149, 4.560, 3.000
  1.320, 0.150, 4.538, 3.000
  1.325, 0.161, 4.480, 3.000
  1.330, 0.196, 4.493, 3.000
  1.335, 0.193, 4.535, 3.000
  1.340, 0.169, 4.562, 3.000
  1.345, 0.135, 4.530, 3.000
  1.350, 0.157, 4.515, 3.000
  1.355, 0.175, 4.523, 3.000
  1.360, 0.189, 4.510, 3.000
  1.365, 0.176, 4.523, 3.000
  1.370, 0.156, 4.538, 3.000
  1.375, 0.139, 4.552, 3.000
  1.380, 0.162, 4.528, 3.000
  1.385, 0.183, 4.507, 3.000
  1.390, 0.182, 4.477, 3.000
  1.395, 0.183, 4.540, 3.000
  1.400, 0.156, 4.565, 3.000
  1.405, 0.147, 4.577, 3.000
  1.410, 0.157, 4.512, 3.000
  1.415, 0.185, 4.485, 3.000
  1.420, 0.189, 4.510, 3.000
  1.425, 0.182, 4.580, 3.000
  1.430, 0.145, 4.557, 3.000
  1.435, 0.152, 4.535, 3.000
  1.440, 0.164, 4.493, 3.000
  1.445, 0.197, 4.507, 3.000
  1.450, 0.189, 4.538, 3.000
  1.455, 0.167, 4.565, 3.000
  1.460, 0.135, 4.528, 3.000
  1.465, 0.158, 4.520, 3.000
  1.470, 0.176, 4.530, 3.000
  1.475, 0.190, 4.517, 3.000
  1.480, 0.181, 4.525, 3.000
  1.485, 0.156, 4.540, 3.000
  1.490, 0.140, 4.555, 3.000
  1.495, 0.162, 4.543, 3.000
  1.500, 0.182, 4.523, 3.000
  1.505, 0.183, 4.490, 3.000
  1.510, 0.177, 4.538, 3.000
  1.515, 0.160, 4.570, 3.000
  1.520, 0.148, 4.582, 3.000
  1.525, 0.156, 4.520, 3.000
  1.530, 0.184, 4.483, 3.000
  1.535, 0.183, 4.500, 3.000
  1.540, 0.184, 4.580, 3.000
  1.545, 0.150, 4.570, 3.000
  1.550, 0.150, 4.555, 3.000
  1.555, 0.160, 4.493, 3.000
  1.560, 0.191, 4.495, 3.000
  1.565, 0.191, 4.540, 3.000
  1.570, 0.176, 4.585, 3.000
  1.575, 0.139, 4.552, 3.000
  1.580, 0.154, 4.530, 3.000
  1.585, 0.167, 4.512, 3.000
  1.590, 0.192, 4.515, 3.000
  1.595, 0.181, 4.535, 3.000
  1.600, 0.159, 4.568, 3.000
  1.605, 0.138, 4.532, 3.000
  1.610, 0.162, 4.528, 3.000
  1.615, 0.177, 4.540, 3.000
  1.620, 0.183, 4.515, 3.000
  1.625, 0.177, 4.525, 3.000
  1.630, 0.154, 4.548, 3.000
  1.635, 0.142, 4.573, 3.000
  1.640, 0.161, 4.540, 3.000
  1.645, 0.177, 4.530, 3.000
  1.650, 0.178, 4.497, 3.000
  1.655, 0.176, 4.538, 3.000
  1.660, 0.157, 4.565, 3.000
  1.665, 0.148, 4.585, 3.000
  1.670, 0.156, 4.525, 3.000
  1.675, 0.182, 4.493, 3.000
  1.680, 0.178, 4.495, 3.000
  1.685, 0.183, 4.580, 3.000
  1.690, 0.154, 4.580, 3.000
  1.695, 0.148, 4.573, 3.000
  1.700, 0.153, 4.510, 3.000
  1.705, 0.184, 4.487, 3.000
  1.710, 0.186, 4.525, 3.000
  1.715, 0.179, 4.595, 3.000
  1.720, 0.146, 4.565, 3.000
  1.725, 0.151, 4.548, 3.000
  1.730, 0.157, 4.510, 3.000
  1.735, 0.190, 4.507, 3.000
  1.740, 0.184, 4.543, 3.000
  1.745, 0.168, 4.597, 3.000
  1.750, 0.135, 4.550, 3.000
  1.755, 0.153, 4.525, 3.000
  1.760, 0.167, 4.523, 3.000
  1.765, 0.190, 4.523, 3.000
  1.770, 0.181, 4.545, 3.000
  1.775, 0.162, 4.570, 3.000
  1.780, 0.137, 4.545, 3.000
  1.785, 0.160, 4.535, 3.000
  1.790, 0.173, 4.540, 3.000
  1.795, 0.182, 4.538, 3.000
  1.800, 0.179, 4.535, 3.000
  1.805, 0.157, 4.555, 3.000
  1.810, 0.138, 4.560, 3.000
  1.815, 0.162, 4.535, 3.000
  1.820, 0.176, 4.538, 3.000
  1.825, 0.179, 4.512, 3.000
  1.830, 0.173, 4.535, 3.000
  1.835, 0.156, 4.550, 3.000
  1.840, 0.142, 4.582, 3.000
  1.845, 0.161, 4.552, 3.000
  1.850, 0.181, 4.532, 3.000
  1.855, 0.179, 4.505, 3.000
  1.860, 0.176, 4.548, 3.000
  1.865, 0.157, 4.570, 3.000
  1.870, 0.147, 4.585, 3.000
  1.875, 0.158, 4.532, 3.000
  1.880, 0.179, 4.497, 3.000
  1.885, 0.178, 4.495, 3.000
  1.890, 0.183, 4.570, 3.000
  1.895, 0.156, 4.582, 3.000
  1.900, 0.148, 4.582, 3.000
  1.905, 0.154, 4.517, 3.000
  1.910, 0.183, 4.497, 3.000
  1.915, 0.184, 4.520, 3.000
  1.920, 0.182, 4.588, 3.000
  1.925, 0.151, 4.577, 3.000
  1.930, 0.151, 4.562, 3.000
  1.935, 0.158, 4.500, 3.000
  1.940, 0.191, 4.495, 3.000
  1.945, 0.184, 4.538, 3.000
  1.950, 0.175, 4.602, 3.000
  1.955, 0.142, 4.565, 3.000
  1.960, 0.154, 4.540, 3.000
  1.965, 0.162, 4.505, 3.000
  1.970, 0.192, 4.507, 3.000
  1.975, 0.187, 4.552, 3.000
  1.980, 0.170, 4.582, 3.000
  1.985, 0.136, 4.545, 3.000
  1.990, 0.157, 4.528, 3.000
  1.995, 0.169, 4.528, 3.000
  2.000, 0.189, 4.530, 3.000
  2.005,-0.315, 4.535, 0.000
  2.010,-0.464, 4.160, 0.000
  2.015,-0.419, 3.767, 0.000
  2.020,-0.379, 3.455, 0.000
  2.025,-0.364, 3.243, 0.000
  2.030,-0.328, 3.007, 0.000
  2.035,-0.324, 2.887, 0.000
  2.040,-0.292, 2.727, 0.000
  2.045,-0.293, 2.615, 0.000
  2.050,-0.269, 2.455, 0.000
  2.055,-0.269, 2.390, 0.000
  2.060,-0.243, 2.257, 0.000
  2.065,-0.243, 2.185, 0.000
  2.070,-0.226, 2.095, 0.000
  2.075,-0.211, 2.033, 0.000
  2.080,-0.219, 1.945, 0.000
  2.085,-0.198, 1.870, 0.000
  2.090,-0.189, 1.808, 0.000
  2.095,-0.194, 1.743, 0.000
  2.100,-0.176, 1.660, 0.000
  2.105,-0.168, 1.618, 0.000
  2.110,-0.168, 1.577, 0.000
  2.115,-0.161, 1.503, 0.000
  2.120,-0.147, 1.435, 0.000
  2.125,-0.144, 1.392, 0.000
  2.130,-0.143, 1.365, 0.000
  2.135,-0.136, 1.312, 0.000
  2.140,-0.125, 1.230, 0.000
  2.145,-0.117, 1.220, 0.000
  2.150,-0.119, 1.175, 0.000
  2.155,-0.116, 1.148, 0.000
  2.160,-0.107, 1.072, 0.000
  2.165,-0.101, 1.062, 0.000
  2.170,-0.097, 1.025, 0.000
  2.175,-0.097, 0.990, 0.000
  2.180,-0.097, 0.967, 0.000
  2.185,-0.091, 0.930, 0.000
  2.190,-0.084, 0.892, 0.000
  2.195,-0.079, 0.863, 0.000
  2.200,-0.075, 0.832, 0.000
  2.205,-0.077, 0.815, 0.000
  2.210,-0.072, 0.782, 0.000
  2.215,-0.071, 0.755, 0.000
  2.220,-0.066, 0.725, 0.000
  2.225,-0.061, 0.702, 0.000
  2.230,-0.058, 0.683, 0.000
  2.235,-0.056, 0.658, 0.000
  2.240,-0.054, 0.642, 0.000
  2.245,-0.052, 0.627, 0.000
  2.250,-0.052, 0.615, 0.000
  2.255,-0.051, 0.593, 0.000
  2.260,-0.047, 0.562, 0.000
  2.265,-0.043, 0.542, 0.000
  2.270,-0.041, 0.527, 0.000
  2.275,-0.038, 0.502, 0.000
  2.280,-0.036, 0.493, 0.000
  2.285,-0.034, 0.480, 0.000
  2.290,-0.032, 0.463, 0.000
  2.295,-0.032, 0.455, 0.000
  2.300,-0.030, 0.432, 0.000
  2.305,-0.030, 0.423, 0.000
  2.310,-0.029, 0.403, 0.000
  2.315,-0.026, 0.393, 0.000
  2.320,-0.023, 0.377, 0.000
  2.325,-0.023, 0.368, 0.000
  2.330,-0.019, 0.347, 0.000
  2.335,-0.020, 0.340, 0.000
  2.340,-0.019, 0.333, 0.000
  2.345,-0.017, 0.325, 0.000
  2.350,-0.016, 0.317, 0.000
  2.355,-0.014, 0.308, 0.000
  2.360,-0.014, 0.305, 0.000
  2.365,-0.014, 0.298, 0.000
  2.370,-0.012, 0.290, 0.000
  2.375,-0.013, 0.290, 0.000
  2.380,-0.010, 0.282, 0.000
  2.385,-0.010, 0.270, 0.000
  2.390,-0.010, 0.268, 0.000
  2.395,-0.010, 0.260, 0.000
  2.400,-0.008, 0.250, 0.000
  2.405,-0.009, 0.243, 0.000
  2.410,-0.007, 0.237, 0.000
  2.415,-0.006, 0.227, 0.000
  2.420,-0.004, 0.218, 0.000
  2.425,-0.004, 0.210, 0.000
  2.430,-0.003, 0.203, 0.000
  2.435,-0.002, 0.200, 0.000
  2.440,-0.001, 0.190, 0.000
  2.445,-0.001, 0.188, 0.000
  2.450,-0.000, 0.183, 0.000
  2.455, 0.001, 0.178, 0.000
  2.460, 0.002, 0.168, 0.000
  2.465, 0.002, 0.160, 0.000
  2.470, 0.002, 0.157, 0.000
  2.475, 0.004, 0.153, 0.000
  2.480, 0.004, 0.148, 0.000
  2.485, 0.005, 0.140, 0.000
